instrument,entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot_size,pnl,exit_reason,balance
EURUSD,2025-06-19 18:00:00,2025-06-19 20:30:00,SELL,1.14652,1.1471,1.14652,1.145551428571429,0.06,-3.4800000000001496,SL,630.0099999999936
XAUUSD,2025-06-20 01:15:00,2025-06-20 05:45:00,SELL,3366.1800000000003,3352.46,3366.1800000000003,3353.9557142857147,0.01,13.650000000000254,TP,643.6599999999938
XAUUSD,2025-06-23 04:00:00,2025-06-23 12:00:00,SELL,3365.44,3368.09,3365.44,3343.992857142857,0.01,-2.720000000000091,SL,640.9399999999937
EURUSD,2025-06-24 10:00:00,2025-06-24 17:00:00,SELL,1.16064,1.16065,1.16064,1.1576902857142857,0.02,-0.020000000000131024,SL,640.9199999999936
EURUSD,2025-06-25 09:00:00,2025-06-25 09:45:00,SELL,1.1615399999999998,1.16065,1.1620848571428573,1.1609002857142852,0.08,7.119999999998684,TP,648.0399999999922
XAUUSD,2025-06-25 15:15:00,2025-06-25 16:00:00,SELL,3327.9900000000002,3314.9,3327.9900000000002,3316.9721428571434,0.01,13.020000000000145,TP,661.0599999999923
XAUUSD,2025-06-26 04:00:00,2025-06-26 05:30:00,SELL,3332.9,3339.95,3337.320357142857,3324.6592857142855,0.01,-7.119999999999727,SL,653.9399999999926
XAUUSD,2025-06-26 15:15:00,2025-06-26 15:45:00,SELL,3342.61,3322.03,3342.61,3330.93,0.01,20.509999999999927,TP,674.4499999999924
EURUSD,2025-06-27 09:00:00,2025-06-27 09:15:00,BUY,1.169,1.17002,1.168353,1.1698439999999999,0.07,7.140000000000147,TP,681.5899999999925
EURUSD,2025-06-30 06:15:00,2025-06-30 07:30:00,SELL,1.1716099999999998,1.1724,1.1722864285714285,1.1707071428571427,0.06,-4.740000000001743,SL,676.8499999999908
EURUSD,2025-07-01 22:30:00,2025-07-01 22:45:00,BUY,1.1786,1.17904,1.178213142857143,1.178923714285714,0.14,6.159999999999944,TP,683.0099999999908
EURUSD,2025-07-02 04:00:00,2025-07-02 04:45:00,SELL,1.1804599999999998,1.17932,1.1808418571428572,1.1801462857142855,0.15,17.099999999998783,TP,700.1099999999896
XAUUSD,2025-07-03 15:00:00,2025-07-03 15:30:00,SELL,3347.5,3312.28,3353.4760714285712,3336.147857142857,0.01,35.1499999999998,TP,735.2599999999893
EURUSD,2025-07-07 17:00:00,2025-07-07 18:30:00,BUY,1.1736900000000001,1.173,1.1730175714285715,1.174584857142857,0.07,-4.830000000000557,SL,730.4299999999887
EURUSD,2025-07-09 05:00:00,2025-07-09 05:30:00,SELL,1.17208,1.17065,1.1726002857142857,1.171489428571429,0.1,14.300000000000423,TP,744.7299999999891
XAUUSD,2025-07-09 15:15:00,2025-07-09 17:00:00,BUY,3291.06,3306.05,3291.06,3301.9321428571425,0.01,14.920000000000236,TP,759.6499999999893
XAUUSD,2025-07-10 06:00:00,2025-07-10 08:00:00,SELL,3318.1600000000003,3324.03,3322.959642857143,3309.160714285714,0.01,-5.939999999999891,SL,753.7099999999893
XAUUSD,2025-07-10 16:00:00,2025-07-10 16:45:00,SELL,3327.17,3312.78,3333.4589285714283,3315.192142857143,0.01,14.319999999999872,TP,768.0299999999892
EURUSD,2025-07-14 18:15:00,2025-07-14 19:15:00,SELL,1.16841,1.16624,1.16841,1.1666685714285714,0.04,8.680000000000021,TP,776.7099999999892
EURUSD,2025-07-15 04:15:00,2025-07-15 06:15:00,BUY,1.167,1.16762,1.1664727142857143,1.1676045714285712,0.1,6.200000000000649,TP,782.9099999999899
XAUUSD,2025-07-15 14:00:00,2025-07-15 15:45:00,SELL,3360.42,3348.81,3360.42,3349.7364285714284,0.01,11.540000000000127,TP,794.4499999999899
EURUSD,2025-07-16 01:45:00,2025-07-16 03:30:00,BUY,1.16052,1.16107,1.160095,1.1609199999999995,0.14,7.700000000000707,TP,802.1499999999907
EURUSD,2025-07-16 03:45:00,2025-07-16 07:45:00,BUY,1.1608800000000001,1.16191,1.1601782857142857,1.1618334285714287,0.07,7.209999999999051,TP,809.3599999999897
