time,Open,High,Low,Close,Volume
2024-08-06 12:00:00,0.89928,0.89928,0.89714,0.89733,3366
2024-08-06 13:00:00,0.89732,0.89763,0.8968,0.89698,3174
2024-08-06 14:00:00,0.89697,0.89727,0.89592,0.89664,3150
2024-08-06 15:00:00,0.89665,0.89715,0.89585,0.89636,3861
2024-08-06 16:00:00,0.89633,0.89795,0.8962,0.89792,4178
2024-08-06 17:00:00,0.89795,0.89915,0.89753,0.89825,4700
2024-08-06 18:00:00,0.89829,0.89926,0.89771,0.89892,4094
2024-08-06 19:00:00,0.89894,0.90047,0.89893,0.90039,3077
2024-08-06 20:00:00,0.90038,0.90053,0.89929,0.89935,2907
2024-08-06 21:00:00,0.89934,0.90009,0.89886,0.89937,2627
2024-08-06 22:00:00,0.89936,0.89939,0.89816,0.89873,3695
2024-08-06 23:00:00,0.89871,0.8992,0.89792,0.89898,1938
2024-08-07 00:00:00,0.89889,0.89892,0.89725,0.89823,381
2024-08-07 01:00:00,0.89808,0.89905,0.89791,0.89885,1539
2024-08-07 02:00:00,0.89885,0.89912,0.89757,0.8981,1720
2024-08-07 03:00:00,0.8981,0.90099,0.89789,0.90089,3251
2024-08-07 04:00:00,0.90093,0.90267,0.89996,0.90123,3824
2024-08-07 05:00:00,0.90122,0.90299,0.9005,0.90167,3565
2024-08-07 06:00:00,0.90167,0.90368,0.90161,0.90343,2580
2024-08-07 07:00:00,0.90343,0.9037,0.90271,0.90299,2609
2024-08-07 08:00:00,0.903,0.90359,0.90218,0.90266,3086
2024-08-07 09:00:00,0.90265,0.90265,0.90059,0.90179,3154
2024-08-07 10:00:00,0.9018,0.90193,0.90025,0.90133,3856
2024-08-07 11:00:00,0.90132,0.90258,0.90102,0.90205,2877
2024-08-07 12:00:00,0.90204,0.90323,0.90152,0.90309,2496
2024-08-07 13:00:00,0.90308,0.90359,0.90246,0.90293,2170
2024-08-07 14:00:00,0.90291,0.90336,0.90186,0.90201,2182
2024-08-07 15:00:00,0.90202,0.90249,0.90159,0.90194,2891
2024-08-07 16:00:00,0.90194,0.90227,0.90104,0.90171,3149
2024-08-07 17:00:00,0.90171,0.90171,0.89961,0.89985,3870
2024-08-07 18:00:00,0.89985,0.90066,0.89908,0.89943,3348
2024-08-07 19:00:00,0.89947,0.89957,0.89835,0.89864,3067
2024-08-07 20:00:00,0.89863,0.89868,0.89697,0.89699,3536
2024-08-07 21:00:00,0.89697,0.89755,0.89561,0.89582,3381
2024-08-07 22:00:00,0.89582,0.89666,0.89569,0.89622,3205
2024-08-07 23:00:00,0.89623,0.89697,0.89606,0.89675,1265
2024-08-08 00:00:00,0.89667,0.89697,0.89612,0.89662,301
2024-08-08 01:00:00,0.89673,0.89689,0.896,0.89615,1155
2024-08-08 02:00:00,0.89614,0.89649,0.89506,0.89628,2013
2024-08-08 03:00:00,0.89627,0.89682,0.89498,0.89572,3080
2024-08-08 04:00:00,0.89571,0.89762,0.89563,0.89725,3045
2024-08-08 05:00:00,0.89725,0.89977,0.89714,0.89967,2756
2024-08-08 06:00:00,0.89968,0.90116,0.89923,0.90044,2326
2024-08-08 07:00:00,0.90045,0.90108,0.89994,0.90019,2184
2024-08-08 08:00:00,0.90018,0.90081,0.89972,0.89993,2299
2024-08-08 09:00:00,0.89991,0.90124,0.89926,0.90107,2732
2024-08-08 10:00:00,0.90111,0.90123,0.89912,0.89924,3352
2024-08-08 11:00:00,0.89924,0.9006,0.89921,0.90025,2384
2024-08-08 12:00:00,0.90025,0.90068,0.89989,0.90015,2248
2024-08-08 13:00:00,0.90015,0.90097,0.90005,0.90079,2331
2024-08-08 14:00:00,0.90079,0.90117,0.89989,0.9001,2249
2024-08-08 15:00:00,0.9001,0.90191,0.90007,0.90077,3654
